Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;Cod.Interno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Cuo.Anual Helados;VtaBru.Cum Actual;VtaBru.Cum Anterior;Desviacion _;Desviacion %;VtaBru.Tot Anterior;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;866015099;HOGAR 3¦ EDAD MARIA;8525;;;Bares y Cafeter¡as;BAR Y CAFETERIA;03/07/2002;29/08/2025;5570,27;0,00;1108,23;-1108,23;100,00;5445,03;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;866016003;RESTAURANTE EL CALDERO;5450;000008931;LOPEZ SALINERO, RICARDO;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;03/03/2004;09/05/2026;4366,03;1294,22;1615,35;-321,13;19,88;4267,87;
05-2025 -> 05-2026;2866;LORCA;10;EDGAR WIDRIDO GRANDA;866016010;REST.MEDITERRANEO;7521;8660187;DAWEY;Restaurantes;RESTAURANTES CHINOS;03/03/2004;18/04/2026;1216,35;289,32;586,92;-297,60;50,71;1189,00;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;866016304;BAR 4 VIENTOS;6304;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;28/11/2006;25/03/2026;3745,15;1486,96;1787,11;-300,15;16,80;3660,95;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;866016307;RESTAURANTE DON TADEO;6307;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;28/11/2006;28/04/2026;3409,94;617,18;1175,17;-557,99;47,48;3333,27;
05-2025 -> 05-2026;2866;LORCA;16;FRANCISCO JOSE ASENSIO ;400821451;KIOSCO LUPE;4096;;;Impulso Tradicional;KIOSCO FIJO (NO PROPIEDAD NEST;19/12/2008;13/05/2026;10592,79;3417,36;3872,42;-455,06;11,75;10354,63;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;400930248;HELADERIA VENECIA;10444;;;Ocio;HELADERIAS/HORCHATERIAS;14/06/2010;08/05/2026;4971,68;527,38;2174,64;-1647,26;75,75;4859,90;
05-2025 -> 05-2026;2866;LORCA;35;RAUL MARTINEZ ;400950485;BAR ANA;7991;;;Bares y Cafeter¡as;BAR Y CAFETERIA;15/02/2011;08/08/2025;1301,46;0,00;857,83;-857,83;100,00;1272,20;
05-2025 -> 05-2026;2866;LORCA;03;MARTIN MANCHON;400970568;RECEPCION TIENDA CAMPING;2123;000003793;LA TASCA;Ocio;CAMPING/PISCINAS/POLIDEPORTIVO;27/07/2011;07/04/2026;2801,21;762,04;1282,21;-520,17;40,57;2738,23;
05-2025 -> 05-2026;2866;LORCA;33;DOMINGO GINER ;400973373;CAFETERIA PIZZERIA VIGGOS;2295;000007276;BOCA PIZZA;Bares y Cafeter¡as;BAR Y CAFETERIA;10/10/2011;10/04/2026;17238,03;0,00;5622,04;-5622,04;100,00;16850,47;
